ID	NameUA	NameEN	DescriptionUA	DescriptionEN
240	Синя команда	Blue Team	це команда тестування безпеки, яка зосереджується на аналізі систем і розробці нових або покращених механізмів безпеки для захисту систем від атак.	
241	Система виявлення вторгнень	Intrusion Detection Systems (IDS)	це система керування безпекою, створена для активного захисту комп'ютера та мереж. Він працює шляхом аналізу інформації з різних областей комп'ютера/мережі для виявлення потенційних порушень безпеки. Ці порушення можуть бути спричинені як вторгненнями (зовнішні атаки), так і неправильним використанням (інсайдерські атаки).	
242	Система запобігання вторгнень	Host Intrusion Prevention System (HIPS)	це система, яка працює на комп'ютерах (зазвичай серверах) для виявлення та блокування спроб вторгнення, які якимось чином пройшли через брандмауер.	
243	Системний адміністратор	System Administrator	це особа, яка відповідає за всі технічні аспекти інформаційної системи. Це включає аспекти, пов'язані з конфігурацією, обслуговуванням, забезпеченням надійності та необхідних ресурсів для роботи системи з оптимальними параметрами з дотриманням бюджету тощо.	
244	Сканування портів	Port scanning	це простий тест, у якому комп'ютер із програмним забезпеченням намагається встановити всі можливі типи з'єднань від машини, на якій він працює, до однієї чи кількох інших (цільових) машин. Використовується хакерами як перший крок у виявленні потенційних вразливостей у системі.	
245	Сканування HTTPS	HTTPS scanning	дозволяє зловмисникам розшифровувати, аналізувати та повторно шифрувати вміст між веб-сайтами, які використовують SSL (Secure Sockets Layer) для безпеки, і браузером користувача. Цей тип атаки зазвичай використовується для проникнення в обмін інформацією та викрадення конфіденційних даних. Є іншою назвою атаки Main-in-the-middle.	
246	Скімінг	Skimming	відбувається, коли зловмисник несанкціоновано використовує зчитувач тегів, щоб зібрати інформацію про тег людини. Жертва ніколи не знає і не погоджується на те, щоб її зняли. Наприклад, скімінг картки є незаконною практикою, яка полягає в незаконному зборі даних із магнітної смуги картки. Потім ця інформація може бути скопійована на чисту магнітну смугу картки та використана зловмисниками для здійснення покупок і зняття готівки від імені жертви.	
247	Сніфер пакетів	Packet Sniffer	це тип програмного забезпечення, призначеного для моніторингу та запису трафіку в мережі. Його можна використовувати на користь, для проведення діагностичних тестів і усунення потенційних проблем. Але його також можна використовувати для зловмисних цілей, щоб стежити за вашими особистими даними. Це включає: вашу історію веб-перегляду, ваші завантаження, людей, яким ви надсилаєте електронні листи тощо.	
248	Соціальна інженерія	Social engineering	це форма психологічної маніпуляції, яка використовується для того, щоб переконати людей виконати певні дії або надати конфіденційну інформацію. Тактика маніпуляції включає брехню, психологічні трюки, хабарі, вимагання, видавання себе за іншу особу та інші види погроз. Соціальна інженерія часто використовується для отримання даних і отримання несанкціонованого доступу до інформаційних систем, як окремих приватних користувачів, так і організацій.	
249	Спам	Spam	складається з небажаних електронних листів або інших типів повідомлень, надісланих через Інтернет. Спам часто використовується для розповсюдження зловмисного програмного забезпечення та фішингу, тому ніколи не відкривайте, не відповідайте та не завантажуйте вкладення зі спам повідомлень. Спам-камера надходить на ваш шлях у вигляді електронних листів, миттєвих повідомлень, коментарів тощо.	
250	Спеціаліст-криміналіст	Forensic Specialist	це професіонал, який ідентифікує та аналізує онлайн-трафік і передачу даних, щоб дійти висновку на основі виявленої інформації.	
251	Спеціальна мережа	Ad Hoc Network	це мережа, яка часто базується на технології бездротової локальної мережі, у якій власники пристроїв у мережі налаштовують власні пристрої для зв'язку один з одним. Немає централізованого контролю над тим, хто може бути його частиною, і тому його важко забезпечити. Слід уникати спеціальних мереж в організаційних мережах, і ви повинні використовувати будь-які інструменти, які є у вашому розпорядженні, щоб спробувати запобігти підключенню пристроїв, які знаходяться в тимчасовій мережі, до ваших корпоративних систем.	
252	Список блокувань	Block List	це список або база даних користувачів, систем, компаній тощо, яким заборонено доступ до системи (наприклад, сервер електронної пошти відхиляв би вхідну електронну пошту з будь-якого домену, який був у списку блокування організації).	
253	Список контролю доступу	Access Control List (ACL)	це параметр у мережевому пристрої, який визначає, куди дозволено передавати трафік.	
254	Список відкликаних сертифікатів	Certificate Revocation List (CRL)	це список цифрових сертифікатів, які були анульовані відповідним центром сертифікації. Для вашого програмного забезпечення особливо важливо перевіряти CRL, оскільки він саме для того, щоб повідомити вам, що сертифікат більше не прийнятний — можливо, його хост було зламано, а закритий ключ викрадено, наприклад.	
255	Сплячий код	Dormant code	сучасні передові шкідливі програми часто мають модульну структуру, що включає кілька компонентів, одним із яких є неактивний код, який означає, що шкідливому програмному забезпеченню потрібні певні тригери для виконання завдання, для якого було створено. Цей тип поведінки закодований у зловмисному програмному забезпеченні, щоб воно могло обійти виявлення на основі сигнатур у таких продуктах, як традиційні антивірусні рішення та рішення для захисту від зловмисного програмного забезпечення. Існує ще одна причина для використання неактивного коду: оскільки передові шкідливі програми, такі як програми-вимагачі або фінансові шкідливі програми, зазвичай покладаються на зовнішню інфраструктуру для завантаження компонентів для зараження, шкідливі програми можуть залишатися неактивними та непоміченими, якщо вони не можуть отримати доступ до своїх серверів керування.	
256	Спливаюче оголошення	Pop-up ad	це вікна, які використовуються в рекламі. Вони з'являються у верхній частині вікна вебпереглядача, коли ви перебуваєте на веб-сайті, і часто дратують, оскільки є нав'язливими. Хоча вони не є зловмисними за своєю природою, іноді вони можуть заразитися зловмисним програмним забезпеченням, якщо кіберзловмисник скомпрометує рекламні мережі, які обслуговують спливаюче вікно.	
257	Спуфінг	Spoofing	це спроба компромісу, під час якої неавторизована особа намагається отримати доступ до інформаційної системи, видаючи себе за авторизованого користувача. Наприклад, підробка електронної пошти — це коли зловмисники надсилають фішингові електронні листи, використовуючи підроблену адресу відправника. Ви можете подумати, що отримуєте електронний лист від довіреної організації, що змушує вас натискати посилання в електронному листі, але це посилання може призвести до зараження вашого комп'ютера шкідливим програмним забезпеченням.	
258	Стійкість	Resilience	це здатність організації або системи відновлювати свою здатність функціонувати та досягати своїх цілей під час і після кібератаки чи інших трансформацій. Стійкість передбачає створення планів на випадок надзвичайних ситуацій, постійне управління ризиками та планування для кожного кризового сценарію.	
259	Стандарт шифрування даних	Data Encryption Standard (DES)	це алгоритм симетричного шифрування, розроблений у 1970-х роках.	
260	Стійкість інформаційної системи	Information System Resilience	це система, яка може продовжувати працювати навіть під час атаки, навіть якщо вона погіршується або ослаблюється. Крім того, вона повинна мати можливість швидко відновлюватися після успішної атаки та відновлювати оперативні можливості, принаймні для основних функцій.	
261	Сценарій загрози	Threat scenario	черпає інформацію з усіх доступних ресурсів і зосереджується на трьох ключових елементах: уразливості, загрозі та впливі. Це допомагає зв'язати конкретні кіберзагрози з одним або кількома джерелами загроз і встановити пріоритети.	
262	Темна мережа	Dark Web	стосується веб-сайтів і онлайн-контенту, які існують поза досяжністю традиційних пошукових систем і браузерів. Цей вміст прихований методами шифрування (у більшості випадків ці сайти використовують інструмент шифрування Tor, щоб приховати свою особу та місцезнаходження), і доступ до нього можливий лише за допомогою спеціального програмного забезпечення, налаштувань конфігурації або очікування схвалення від їхніх адміністраторів. Темна мережа відома тим, що є осередком незаконної діяльності (торгівлі наркотиками та злочинними операціями, злому темних капелюхів тощо).	
263	Теплий сайт	Warm Site	це «приміщення», яке не є повноцінною резервною копією основного сайту, але яке обладнано таким чином, щоб його можна було ввести в експлуатацію протягом розумного часу після інциденту (наприклад, пожежі або повені), який повністю або частково вплинув на первинний сайт, що не працює.	
264	Тестування внутрішньої безпеки	Internal Security Testing	це тип тестування, який проводиться зсередини організації, щоб перевірити стійкість і міцність периметра безпеки та захисту компанії.	
265	Тестування чорного ящика	Black Box Testing	це тестування безпеки системи, де тестувальник не має інформації пор дизайн системи, впровадження або механізми безпеки.	
266	Тестування на проникнення	Penetration Testing	це тип атаки, яка запускає мережу або комп'ютерну систему з метою виявлення вразливостей безпеки, які можуть бути використані для отримання несанкціонованого доступу до функцій і даних мережі/системи. Тестування на проникнення використовується, щоб допомогти компаніям краще захистити себе від кібератак.	
267	Токен	Token	це фізичний електронний пристрій, який використовується для підтвердження особи користувача. Токени зазвичай є частиною механізмів двофакторної або багатофакторної автентифікації. У деяких випадках токени також можуть замінити паролі, і їх можна знайти у формі брелока, USB, ідентифікаційної картки чи смарт-картки.	
268	Точка доступу	Access Point (AP)	це об'єкт, до якого кожен пристрій у бездротовій мережі підключається безпосередньо. Деякі точки доступу є автономними та виконують всю роботу по взаємодії з клієнтськими пристроями (їх часто називають «жирними точками доступу»), тоді як інші («тонкі точки доступу») — це не більше ніж радіостанції, які направляють трафік назад до центральної точки керування. Тонкі точки доступу кращі з точки зору безпеки, оскільки все контролюється централізовано, що спрощує керування та, отже, менш схильне до помилок.	
269	Троян віддаленого доступу	Remote access Trojan (RAT)	використовують права доступу жертви та заражають комп'ютери, щоб надати зловмисникам необмежений доступ до даних на ПК. Кіберзлочинці можуть використовувати RAT для вилучення конфіденційної інформації. RATs включають бекдори в комп'ютерну систему та можуть залучати ПК до ботнету, а також поширюватися на інші пристрої. Сучасні RAT можуть обходити надійну автентифікацію та отримувати доступ до конфіденційних програм, які згодом використовуються для передачі інформації на сервери та веб-сайти, контрольовані кіберзлочинцями.	
270	Троян (Троянський кінь)	Trojan (Trojan Horse)	це різновид зловмисного програмного забезпечення, яке діє згідно з грецькою легендою: воно маскується під законний файл або програму, щоб обманом змусити нічого не підозрюючих користувачів встановити його на свої комп'ютери. Зробивши це, користувачі несвідомо нададуть неавторизований віддалений доступ кібер-зловмисникам, які створили та запустили троян. Троянські програми можна використовувати для стеження за діяльністю користувача (перегляд вебсторінок, діяльність на комп'ютері тощо), для збору конфіденційних даних, видалення файлів, завантаження шкідливих програм на ПК тощо.	
271	Управління доступом	Access Control	це налаштування систем таким чином, щоб особи та інші системи, які мають до них доступ, могли виконувати лише ті функції, які їм мають бути дозволені, і не більше.	
272	Управління рахунками	Account Management	це додавання, зміна та видалення користувача в системах і програмах.	
273	Управління ризиками підприємства	Enterprise Risk Management	це методи та процеси, які організації використовують для виявлення та управління ризиками кібербезпеки, які можуть поставити під загрозу її корпоративну місію. У рамках цього плану організація також розробить план захисту своїх активів і план реагування, якщо ризик кібербезпеки стане реальністю.	
274	Фальсифікація	Tampering	це навмисна зміна способу роботи інформаційної системи з метою змусити її виконувати несанкціоновані дії.	
275	Фармінг	Pharming	це різновид онлайн-шахрайства, метою якого є отримання від жертви такої інформації, як паролі, імена користувачів тощо. Фармінг означає перенаправлення інтернет-трафіку з законного вебсайту на підроблений, щоб жертви могли розміщувати свою конфіденційну інформацію, а зловмисники могли її збирати. Цей тип атак зазвичай націлений на банківські сайти та веб-сайти електронної комерції. Виявлення ускладнює те, що навіть якщо жертва вводить правильну URL-адресу, переспрямування все одно переведе користувача на підроблений веб-сайт, яким керують ІТ-злочинці.	
276	Фізично ізольована мережа	Physically Isolated Network	це мережа, яка свідомо і повністю ізольована від усіх інших, щоб повністю виключити ризик вторгнення через мережу.	
277	Фільтр пакетів	Packet Filter	це механізм, як правило, у межах маршрутизатора чи брандмауера, який дозволяє лише певні типи трафіку до та з певних адрес.	
278	Фінансове шкідливе програмне забезпечення	Financial malware	це категорія спеціалізованого зловмисного програмного забезпечення, призначеного для збору фінансової інформації та її використання для вилучення грошей з рахунків жертв. Оскільки це досить новий тип шкідливого програмного забезпечення, воно також є дуже складним і може легко обійти традиційні заходи безпеки, такі як антивірус. Фінансове зловмисне програмне забезпечення здатне зберігатися в ураженій системі протягом тривалого часу, поки воно не збере інформацію, пов'язану з фінансовими операціями, і не почне витікати гроші з цільового рахунку. Банківське шахрайство, як кіберзлочин, є однією з найсерйозніших кіберзагроз у поточному ландшафті ризиків.	
279	Фішинг	Phishing	це зловмисна техніка, яка використовується кіберзлочинцями для збору конфіденційної інформації (дані кредитної картки, імена користувачів і паролі тощо) від користувачів. Зловмисники видають себе за надійну особу, щоб змусити жертв довіритися їм і розкрити їхні конфіденційні дані. Дані, зібрані за допомогою фішингу, можуть бути використані для фінансової крадіжки, викрадення особистих даних, для отримання несанкціонованого доступу до облікових записів жертви або до облікових записів, до яких вона має доступ, для шантажу жертви тощо.	
280	Хакер	Hacker	це особа, якій вдається отримати несанкціонований доступ до комп'ютерної системи з метою завдати шкоди. Але майте на увазі, що існує два типи хакерів: хакери з білим капелюхом, які проводять тестування на проникнення та розкривають його результати, щоб допомогти створити безпечніші системи та програмне забезпечення, і хакери з чорною капелюхом, які використовують свої навички для зловмисних цілей.	
281	Хактивізм	Hacktivism	це діяльність із використанням хакерських методів для протесту проти політичних і соціальних цілей або боротьби за них. Однією з найвідоміших хактивістських груп у світі є Anonymous.	
282	Хеш-функція	Hash Function	це функція, яка приймає рядок чистого тексту і перетворює його на загадковий рядок фіксованої довжини. Сенс хеш-функції полягає у тому, що вона одностороння; тобто фактично неможливо взяти хешовану версію та перетворити її назад у версію чистого тексту.	
283	Хибно позитивний	False positive	виявляється, коли рішення безпеки виявляє потенційну кіберзагрозу, яка насправді є нешкідливим програмним забезпеченням або безпечною поведінкою програмного забезпечення. Наприклад, ваш антивірус може повідомити вам, що на вашому ПК є загроза зловмисного програмного забезпечення, але може статися, що програма, яку він блокує, безпечна.	
284	Цілеспрямована загроза	Targeted Threat	цільові загрози виділяються через їх спрямованість: зазвичай вони спрямовані на певну організацію чи галузь. Ці загрози також призначені для отримання конфіденційної інформації від цілі, тому кіберзлочинцям потрібно багато часу, щоб підготувати ці загрози. Вони ретельно задокументовані, тому шанси на успішний компроміс можуть бути якомога більшими. Цільові загрози надсилаються електронною поштою (фішинг, вішинг тощо), вони використовують Zero Days та інші вразливості для проникнення в інформаційну систему та багато іншого. Урядові та фінансові організації є найбільш частими цілями для цього типу кіберзагроз.	
285	Цілісність даних	Data Integrity	стосується властивості інформації, яка не була змінена чи модифікована неавторизованою особою. Термін використовується для позначення якості інформації в базі даних, сховищі даних або інших місцях онлайн.	
286	Цілісність системи	System Integrity	це стан, який визначає інформаційну систему, яка здатна виконувати свої спеціальні функції за оптимальних параметрів, без втручання чи маніпуляцій (навмисних чи ні).	
287	Цитадель	Citadel	це різновид фінансового шкідливого програмного забезпечення, яке з'явилося в 2012 році після витоку вихідного коду сумнозвісного шкідливого програмного забезпечення ZeuS в Інтернет. Оскільки код був із відкритим вихідним кодом, кіберзлочинці почали вдосконалювати його, щоб отримувати нові, складніші та приховані типи зловмисного програмного забезпечення. Так само, як ZeuS/Zbot, Citadel прагне отримати від жертви конфіденційну інформацію, особливо банківську та фінансову. Окрім фінансового шахрайства, Citadel також може запускати різні типи зловмисного програмного забезпечення, наприклад програми-вимагачі чи програми-страхи, що робить її передовим набором інструментів для кіберзлочинців.	
288	Цифровий підпис	Digital Signature	це техніка, яка використовується для шифрування та підтвердження автентичності та цілісності повідомлення, програмного забезпечення чи цифрового документа. Цифровий підпис важко скопіювати хакеру, тому він важливий в інформаційній безпеці.	
289	Черв'як автозапуску	Autorun worm	це шкідливі програми, які використовують функцію автозапуску Windows для автоматичного запуску, коли пристрій, зазвичай USB-накопичувач, під'єднується до ПК. AutoPlay, подібна технологія нещодавно була використана для доставки сумнозвісного хробака Conficker. Корпорація Майкрософт вимкнула в нових системах параметр AutoRun, тому ця проблема має зникнути в майбутньому.	
290	Черв'як	Worm	це один із найпоширеніших типів шкідливих програм. Він схожий на вірус, але поширюється по-іншому: хробаки мають здатність поширюватися незалежно та автоматично розмножуватися, використовуючи вразливі місця операційної системи, тоді як віруси покладаються на людську діяльність для поширення. Зазвичай його «підхоплюють» через масові електронні листи, які містять заражені вкладення. Хробаки також можуть містити «корисне навантаження», яке пошкоджує хост-комп'ютери, зазвичай призначене для крадіжки даних, видалення файлів, надсилання документів електронною поштою або встановлення бекдорів.	
291	Чорний хакер	Blackhate hacker	це досвідчені користувачі комп'ютерів зі зловмисними намірами, які прагнуть скомпрометувати безпеку особи чи організації заради особистої вигоди. Хакери Blackhat часто спеціалізуються, наприклад, на розробці шкідливих програм, розсилці спаму, виявленні експлойтів, DDoS-атаках тощо. Не всі зловмисники використовують створене ними зловмисне програмне забезпечення або виявлені ними експлойти. Деякі просто знаходять їх і продають ноу-хау тому, хто запропонує найвищу ціну. Їхніми улюбленими цілями є фінансова інформація (наприклад, дані кредитної картки чи банківських рахунків), особиста інформація (наприклад, облікові записи електронної пошти та паролі), а також конфіденційні дані компанії (наприклад, бази даних співробітників/клієнтів).	
292	Чорний список	Blacklisting	внести в «чорний список» у сфері ІТ-безпеки означає організувати список відправників, які розвинули зловмисні дії, як-от фішинг або спам. У той же час чорний список може містити ряд додатків або програм, які не слід запускати в системі. Для рішення брандмауера чорний список відноситься до кількох IP-адрес, які були заблоковані та до яких система не може підключитися з міркувань безпеки.	
293	Шейлок	Shylock	це зловмисне банківське програмне забезпечення, створене для викрадення банківських облікових даних користувачів із шахрайською метою. Shylock базується на витоку коду ZeuS і діє подібно до Zeus GameOver (створеного на основі того ж шкідливого коду), оскільки він використовує алгоритм генерації домену (DGA), щоб приховати свій трафік і залишитися непоміченим традиційними антивірусними та антишкідливими рішеннями. Shylock доставляється в основному через завантаження на скомпрометовані веб-сайти, які постраждали від зловмисної реклами, а також через зловмисне впровадження JavaScript	
294	Шифрування	Encryption	це процес, який використовує криптографічні засоби для перетворення доступних даних або інформації на незрозумілий код, який неможливо прочитати чи зрозуміти звичайними засобами.	
295	Шифрування посилань	Link Encryption	це ситуація, коли все наскрізне з'єднання між кінцевою точкою приймача певним чином зашифровано.	
296	Шкідлива програма завантажувального сектора	Boot sector malware	це зловмисне програмне забезпечення завантажувального сектора, здатне відтворювати оригінальний завантажувальний сектор системи, тому під час наступного завантаження системи шкідливе програмне забезпечення може стати активним. Таким чином, будь-кому в завантажувальному секторі вдається приховати свою присутність до того, як операційна система зможе завантажитися. Це явна перевага для шкідливого програмного забезпечення, яке завантажується перед системою та рішенням для захисту від шкідливого програмного забезпечення. Оскільки він завантажується перед рішенням безпеки, він може навіть вимкнути його та зробити марним проти нього. Цей тип інфекції зазвичай важко вилікувати.	
297	Шкідлива реклама	Malvertising	також називається «зловмисною рекламою» і стосується того, як зловмисне програмне забезпечення розповсюджується через мережі онлайн-реклами. Цей тип техніки широко використовується для розповсюдження фінансового зловмисного програмного забезпечення, шкідливого програмного забезпечення для крадіжки даних, програм-вимагачів та інших кіберзагроз.	
298	Шкідливе програмне забезпечення	Malware	це скорочена версія «зловмисного програмного забезпечення», і вона працює як загальний термін, що стосується програмного забезпечення, яке визначається зловмисними намірами. Цей тип програмного забезпечення з лихими намірами може порушити нормальну роботу комп'ютера, збирати конфіденційну інформацію, отримувати несанкціонований доступ до комп'ютерних систем, відображати небажану рекламу тощо.	
299	Шкідливе програмне забезпечення мобільного телефону	Mobile phone malware	це тип зловмисного програмного забезпечення, який націлений на мобільні телефони, планшети та інші мобільні пристрої та спрямований на порушення їх нормальних функцій, спричинення пошкодження системи або витоку та/або втрати даних.	
300	Шкідливе програмне забезпечення як послуга	Malware-as-a-service	це тип зловмисного програмного забезпечення, який розробляється кіберзлочинцями, щоб вимагати невеликих знань або взагалі не мати досвіду злому, бути гнучким, поліморфним, пропонувати ширше охоплення та часто поставлятися з готовими кодами цілей. Зловмисне програмне забезпечення як послугу можна придбати або взяти напрокат у глибокій мережі та в спільнотах кіберзлочинців, а іноді навіть може включати технічну підтримку від розробників та їх команди, якою вони керують як бізнесом. Основна мета цього полягає в тому, щоб отримати якомога більше грошей.	
301	Шкідливе програмне забезпечення Zero Day	Zero Day Virus/Malware	це комп'ютерний вірус, троянський кінь або інше зловмисне програмне забезпечення, раніше не відоме виробнику програмного забезпечення або виробникам традиційних антивірусів. Це означає, що вразливість також не розголошується публічно, хоча вона може бути відома та тихо використана кібер-зловмисниками. Оскільки це ще невідомо, це означає, що виправлення та сигнатури антивірусного програмного забезпечення ще не доступні для нього, і захист від атаки є слабким.	
302	Шкідливий аплет	Malicious Applet	це невелика програма, яка автоматично завантажується та виконується, оскільки вона здатна виконувати неавторизовану дію/функцію в інформаційній системі.	
303	Шкідливий код	Malicious Code	це тип програмного забезпечення, яке маскується під вигляд корисного та придатного для виконання завдання, але насправді отримує несанкціонований доступ до системних ресурсів або змушує користувача ввести в оману інші шкідливі дії.	
304	Шпигунський фішинг	Spy-phishing	це тип зловмисного програмного забезпечення, яке використовує тактики фішингового та шпигунського програмного забезпечення. Поєднуючи ці кіберзагрози, шпигунський фішинг здатний завантажувати програми, які можуть безшумно працювати в системі жертви. Коли жертви відкривають певну URL-адресу, зловмисне програмне забезпечення збирає дані, які жертва розміщує на цьому веб-сайті, і надсилає їх у зловмисне місце (наприклад, на веб-сервер). Ця техніка використовується для подовження тривалості фішингової атаки навіть після того, як фішинговий веб-сайт було видалено.	
